sentence	label
Plumber suing car dealership for $ 1M after truck he traded in ends up in hands of ISIS : HTTPURL HTTPURL @USER LOL Too Funny ! ! ! @USER damn this so bad 2 hell with that car dealership @USER I do n't understand people they need to call the name on the side of the truck and threaten them . Is there no common sense @USER :grinning_face_with_big_eyes: :grinning_face_with_big_eyes: :grinning_face_with_big_eyes: @USER @USER Makes u wonder who the dealership got the loot from ... hum ? ? :confused_face: @USER Will US / NATO stop free flow of materiel from Turkey into Sirya ? Or will this add to the belief Daesh serves Western interests there ? @USER @USER He used it for those tough clogs @USER @USER because a lot of the wholesale dealers are Arabic and the send them back to the Middle East . @USER deck , does that mean the coca cola lorry could soon be seen with missile launchers ? Or maybe MacDonalds all day breakfast truck	1
"A penis spray-painted on a $ 2.5 million Bugatti was just for a prank video . HTTPURL HTTPURL On @USER : Bugatti Veyron Gold digger surprise prank ! ! HTTPURL #SavedYouAClick @USER That is horrible ! I would definitely try to find out who did that and press charges ! Way to nice of a vehicle ! @USER Yeah but the prick in the driver 's seat is totally real . @USER spray can : 10usd cleaning : 250 used social media reach : priceless :face_with_tongue: :relieved_face: “ @USER : A penis spray-painted on a $ 2.5 million Bugatti was just for a prank video . HTTPURL HTTPURL ” @USER "" scum ... sub human scum "" @USER boo “ @USER : A penis spray-painted on a $ 2.5 million Bugatti was just for a prank video . HTTPURL HTTPURL ” < :face_screaming_in_fear: “ @USER : A penis spray-painted on a $ 2.5 million Bugatti was just for a prank video . HTTPURL HTTPURL ” < :face_screaming_in_fear: ” Ugh “ @USER : A penis spray-painted on a $ 2.5 million Bugatti was just for a prank video . HTTPURL HTTPURL ” “ @USER : A penis spray-painted on a $ 2.5 million Bugatti was just for a prank video . HTTPURL HTTPURL ”"	1
Translucent butterfly - beautiful ! ' HTTPURL	1
"A pregnant woman has lost her eye after being shot with bean bag by police in Ferguson : HTTPURL HTTPURL @USER but did she die ? @USER HTTPURL #PharrinXchange #pharrinxchangeboyz #ShatterMirror @USER @USER That 's dumb , it 's like you 're pregnant . Wtf are you doing out and about while riots are going on lol @USER I do n't know why he drove toward them . Shooting the tires & not gas tank would 've been the better course of action God bless them @USER @USER Tragic @USER @USER you should ban this shit . In Spain several people have lost their eyes or even die because of that @USER @USER those effing bastards @USER @USER how awful @USER @USER police are out of control.they kkknow they wont be arrested so they attackkk and kkkill without thinking @USER @USER Fred Sanford "" YOU BIG DUMMY "" @USER @USER victim blaming ? @USER lmao :face_with_tears_of_joy: @USER stay inside @USER the question is why can the police get away with anything ? ? ? @USER she should n't of been out there protesting . @USER why would you be outside in a hostile environment priorities f * * * up @USER @USER Poor girl , How people can be so bad ! ? May she get better :folded_hands: @USER HTTPURL @USER hey im pregnant and i know riots are n't safe . I 'm still going tho . @USER Should n't of been rioting / looting @USER WOW SMH :index_pointing_up: :index_pointing_up: @USER @USER maybe do n't go to a violent protest if you 're pregnant ? @USER I guess that 's PROGRESS . They did n't KILL THEM ! #PIG #BASTARDS @USER that 's fucked up @USER mother fucking police . Land of the free more land of the nazi . Obama listen to your people @USER @USER im betting that she regrets being amidst the chaos . bad choices ... @USER @USER What difference does it make dip shirt ... @USER Petty @USER shouldnt have been in the riot then TW “ @USER : A pregnant woman has lost her eye after being shot with bean bag by police in Ferguson : HTTPURL ” @USER @USER and why is a pregnant woman at a riot where people are firebombing buildings and looting ? @USER Any ideot that gord to a roit pregnet , enuff said , whers the DCF , save that child from that dope ! ! ! @USER @USER Stop blaming the victim . @USER #classactionlawsuitagainstthepolice @USER @USER @USER jesus ... that 's a 10 on the derpitude scale ! @USER So she did n't have enough sense to NOT go to a place of conflict while she was pregnant ? Child endangerment methinks . @USER @USER @USER how about child endangerment for knowingly attending a potential volatile even while PREGNANT ! ! ! @USER so it 's her fault she exercised her 2nd amendment right ? @USER she has 3 left @USER @USER probably should n't have been there to riot @USER why were they there in the first place ? ? Pregnant riding around lol lame . Poor thing stay with your kids . Boyfriend ? ? ? @USER WE PRAY THE SISTER RECOVERS FAST ! @USER I 'm thinkn this is possibly fake @USER maybe she should n't have been in the middle of the riot ! I sure do n't feel sorry for her ! @USER why is a pregnant women in a riot in Ferguson ? ? ? @USER Mixtape ] Big Freeze & G Nice - No Sleep Gang 2 ( Reloaded ) HTTPURL #dmv #Annapolis #maryland #nosleepgang @USER maybe you should stay home with your baby instead of driving at cops in a riot smh @USER :pensive_face: :pensive_face: :pensive_face: :folded_hands: :folded_hands: :flexed_biceps: @USER @USER Police suck ! Criminals with a badge @USER that 's why everyone tries to come to America ? @USER this is some sad shit , when is it going to end ! ! ! @USER You guys are known for making people sad & angry ! @USER @USER you need to get beheaded moron @USER do n't wanna lose an eyeball ? ? #stayhome #putbabyfirst #badmommy @USER @USER yep she was shot with a bean bag round when her ex con boyfriend tried to run down police officers with his car . #Sad @USER police brutality at its best . @USER @USER So what , she is just another black girl , who cares about blacks in USA.To white 's , blacks were slaves and still are.shm @USER @USER how can you have a protest if you leave when someone tells you ?"	0
"hi everything ! ! :) ok , hi everyone ! jadi , berikut merupakan sedikit informasi untuk mengetahui what is covid - 19 ? seperti yang kita tahu , ini merupakan virus yang paling baru d temukan , dan saat ini kita tengah di masa pandemi . do n't underestimate it ! lets read :sparkles: HTTPURL and here , do / does and do n't / does n't HTTPURL stay healthy everyone ! ! iya emang terasa bosan dan jenuh , tapi bersyukurlah di masa ini , kita masi bisa berkumpul dengan keluarga yang di rumah aja ! kalo kata dokter nahla "" untuk yg bs d rmh , d rmh aja , untuk yang belum bisa , tetap jaga jarak minimal 2 meter , jgn lpa cuci tgan "" HTTPURL"	0
"Why Have There Been More Mass Shootings Under Obama than the 4 Previous Presidents Combined ? HTTPURL HTTPURL @USER Possibly because Obama is a race baiting fool who encourages shit like this ? #blameshannon @USER @USER His divisiveness and failures are driving us mad ... all according to plan . Blood 's on his hands @USER It 's all the racial healing . @USER Because they know the INJUSTICE Dept . will seldom if ever seek the death penalty . o has released how many terorists from Gitmo @USER That certainly is "" Fundamentally transforming America "" just like POTUS wants . @USER because we are precieved as weak with the pantywaist libs in office @USER I 'm sure its not by design or some MK ultra type thing ... just a coincidence . Question is , how many more will there be ? . @USER It 's because #Obama leads by example . He is completely lawless , so his peeps know that they can act lawlessly without risk @USER And Clinton 's and half of W 's were under the assault weapons ban , yet their 's were higher than Reagan 's . @USER Because he is enabling terrorist @USER @USER more pissed off crazies because of him ... @USER @USER blood transfusing America more like it . @USER @USER When they changed the definition and terrorist acts went up under Bush , it was Bush 's fault.Now not Obama 's fault @USER @USER graph those numbers and you 'll have a real "" hockey stick "" @USER @USER In a risk of wearing a tin foil hat to bed , it does make one wonder ? Rise in social media ? :/ @USER @USER more than all previous presidents combined . Obviously that is what surrendering to terrorism leads to . @USER @USER Wow ! @USER @USER He preaches division and racial hatred . People are seeing "" color "" again . Sick of him @USER @USER Pick one : Bush 's fault , NRA , white privilege , cops , hurt feelings , Fox News , intolerance , Christianity , the GOP @USER @USER Epidemic of prescription anti-depressants and less to do with politics . Interesting stat though . @USER @USER @USER You forgot the Koch Bros . Eh , maybe you ran out of 140 . @USER @USER Also record gun sales ( which I like ) @USER @USER He did promise change ! @USER @USER Does it include gangs shootings at each others ? @USER @USER Because he was born on a Tuesday . @USER @USER Obama is turning USA into 3rd world country on purpose so we.know how it feels @USER you rock Tabitha @USER @USER global warming BCUZ OBAMA IS A MUSLIM - - MEDIA U CAN STOP HIDING HIS DIRTY UNDERWEAR - DO UR JOB . ELECT SAMM TITTLE @USER HTTPURL"	1
"What are the symptoms of COVID - 19 ? The most common symptoms of COVID - 19 are : fever , tiredness , dry cough , and body temperature . Some patients may have aches and pains , nasal congestion , runny nose , sore throat or diarrhea . HTTPURL Some people become infected but did not develop any symptoms and do n't feel ill at the same time . Older people , and those with underlying medical problems like high blood pressure , heart problems or diabetes , are more likely to develop serious illness . #IamNaija #Fight2Finish #YakinKawardaCovid_19 #JCINigeria #COVID19Pandemic #BeSafe Follow us on all social media for daily updates . Shin Menene Alamomin Kamuwa da Cutar ? Mafi yawancin alamomin kamuwa da wannan cuta ta covid - 19 sune , Zazzabi , kasala , da busasshen tari . Wasu marasa lafiyar kan samu radadi a jikin su , mura , zubar da majina , kaikayin makogaro da Gudawa . Wasu mutanen kan kamu da cutar Amma ba wani alama jin wani ciwon jiki . Tsofaffi . Da Kuma wadanda suke da matsala ta lafiya Kamar hawan jini , ciwon zuciya , ko sukari sun fi hadarin samun wannan cuta . "" #NiNeNajeria #YakinKawardaCovid_19 #JCINigeria #AnnobarCovid_19 Who can be screened and where ? Basically , anyone with travel history to places where the viral disease ( Covid - 19 ) has being reported . if you have also had contact with someone with travel history to any of such places in recent time . HTTPURL And , if you notice the symptoms of the COVID - 19 , do NOT Panic . importantly , do not go to the hospital immediately , just make a call through directly to Centre For Disease Control ( NCDC ) on their toll free number : Free Number : 08009700001 0 Whatsapp : + 2347087110 839 IamNaija #Fight2Finish #YakinKawardaCovid_19 #JCINigeria #COVID19Pandemic #BeSafe Follow us on all social media for daily updates ."	0
and have been implicated in gastroenteritis in infants . A novel coronavirus was identified as the cause of a worldwide outbreak of a Severe Acute Respiratory Syndrome ( SARS ) in 2003 . This outbreak caused by the virus is believed to have originated in Guangdong south China . It predominantly affected mainly China , Hong Kong , Singapore , and Taiwan . Subsequently , this outbreak spread to neighboring countries in Asia , Canada , and the United States . In humans , several coronaviruses are known to cause respiratory infections ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome ( MERS ) and Severe Acute Respiratory Syndrome ( SARS ) . The most recently discovered coronavirus causes coronavirus disease COVID - 19 . What is COVID - 19 ? COVID - 19 is the infectious disease caused by the most recently discovered coronavirus . This new virus and disease were unknown before the outbreak began in Wuhan , China , in December 2019 What are the symptoms of COVID - 19 ? The most common symptoms of COVID - 19 are fever , tiredness , and dry cough . Some patients may have aches and pains , nasal congestion , runny nose , sore throat or diarrhea . These symptoms are usually mild and begin gradually . Some people become infected but do n't develop any symptoms and do n't feel unwell . Most people ( about 80 % ) recover from the disease without needing special treatment . Around 1 out of every 6 people who gets COVID - 19 becomes seriously ill and develops difficulty breathing . How does COVID - 19 spread ? People can catch COVID - 19 from others who have the virus . The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID - 19 coughs or exhales These droplets land on objects surfaces around the person . Other people then catch COVID - 19 by touching these objects or surfaces , then touching their eyes , nose or mouth . People can also catch COVID - 19 if they breathe in droplets from a person with COVID - 19 who coughs out or exhales droplets . This is why it is important to stay more than 1 meter ( 3 feet ) away from a person who is sick . World Health Organisation is assessing ongoing research on the ways COVID - 19 is spread . HTTPURL	0
"This cartoon is the perfect tribute to Nathan Cirillo #OttawaShooting HTTPURL HTTPURL ... "" @USER : This cartoon is the perfect tribute to Nathan Cirillo #OttawaShooting HTTPURL HTTPURL "" “ @USER : cartoon is perfect tribute to #NathanCirillo #OttawaShooting HTTPURL HTTPURL ” @USER #Ontario RT"	0
"5G mobile networks do not spread COVID - 19 – WHO HTTPURL HTTPURL @USER If there 's a conspiracy and if Covid 19 is a business who will be part of it . @USER We know 5G can't birth viruses , but it 's Detrimental to human health . In a nutshell , "" The radiation from 5G kills """	0
2 . This new virus and disease were unknown before the outbreak began in Wuhan , China , in December 2019 3 . The most common symptoms of COVID - 19 are fever , tiredness , and dry cough . Some patients may have aches and pains , nasal congestion , runny nose , sore throat or diarrhea . These symptoms are usually mild and begin gradually . 4 . Some people become infected but do n't develop any symptoms and do n't feel unwell . Most people ( about 80 % ) recover from the disease without needing special treatment . Around 1 out of every 6 people who gets COVID - 19 becomes seriously ill and develops difficulty breathing . 8 . People can also catch COVID - 19 if they breathe in droplets from a person with COVID - 19 who coughs out or exhales droplets . This is why it is important to stay more than 1 meter ( 3 feet ) away from a person who is sick . 9 . Can the virus that causes COVID - 19 be transmitted through the air ? Studies to date suggest that the virus that causes COVID - 19 is mainly transmitted through contact with respiratory droplets rather than through the air . See previous answer on “ How does COVID - 19 spread ? 10 . Can CoVID - 19 be caught from a person who has no symptoms ? The main way the disease spreads is through respiratory droplets expelled by someone who is coughing . The risk of catching COVID - 19 from someone with no symptoms at all is very low . 11 . However , many people with COVID - 19 experience only mild symptoms . This is particularly true at the early stages of the disease . It is therefore possible to catch COVID - 19 from someone who has , for example , just a mild cough and does not feel ill . 12 . What can I do to protect myself and prevent the spread of disease ? Protection measures for everyone ! Stay aware of the latest information on the COVID - 19 outbreak , available on the WHO website and through your national and local public health authority . 13 . Many countries around the world have seen cases of COVID - 19 and several have seen outbreaks . Authorities in China and some other countries have succeeded in slowing or stopping their outbreaks . 13 . ( A ) However , the situation is unpredictable so check regularly for the latest news . You can reduce your chances of being infected or spreading COVID - 19 by taking some simple precautions : 13 . ( B ) Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water . Why ? Washing your hands with soap and water or using alcohol-based hand rub kills viruses that may be on your hands . 13 . ( C ) Maintain at least 1 metre ( 3 feet ) distance between yourself and anyone who is coughing or sneezing . Why ? When someone coughs or sneezes they spray small liquid droplets from their nose or mouth which may contain virus . 13 . ( C ) ... If you are too close , you can breathe in the droplets , including the COVID - 19 virus if the person coughing has the disease .	0
Soldier shot at National War Memorial in Ottawa HTTPURL #cdnpoli #hw Gunfire inside Canadian parliament ; soldier shot at National War Memorial in Ottawa HTTPURL #cdnpoli @USER RT @USER Soldier shot at National War Memorial in #Ottawa HTTPURL #cdnpoli #hw @USER Time to get snipers out on the roofs . Take him out , no talking ! ! ! Our thoughts to all those in Ottawa “ @USER : Soldier shot at National War Memorial in Ottawa HTTPURL #cdnpoli #hw ”	0
"Non-essential services shutdown ? Can someone explain to me how HTTPURL is essential while HTTPURL is not ? @USER My bud @USER agrees : HTTPURL @USER Only 17 % of the USG is actually shut down . But Michelle Obama 's "" Let 's Move "" site is up and running . Almost other no Fed site up . @USER Neither has been updated since the shutdown . One just has a splash page letting us know . Shutdown should n't happen , though . . @USER This HTTPURL @USER well of course ... This is part of the smoke and mirrors . What can we shut down that will piss off the most people ? @USER Confused fueleconomy clearly states "" may not be updated "" in green text for same reason , though 2nd URL went a little more extreme @USER @USER Yeah , pull the heart strings , wipe tears , and ask for votes . Throw all the bums out ! ! ! Pissed off and Mad about it . @USER @USER probably fuel economy site has a different funding source . Car companies , perhaps ? @USER or why Michelle Obamas "" let 's move "" food nanny website is still up ? @USER it probably depends on how the website maint contracts were set-up and where they 're feds or contractors running them . ( ? ) @USER A missing child alert system sounds pretty fucking essential to me . @USER oil trumps life @USER One has to do with money the other just has to human life . We all know what rules politics nowadays . @USER @USER It comes from the #SpiteHouse MT "" @USER : Non-essential shutdown ? Can someone explain to me how HTTPURL is essential while HTTPURL isnt ? ” @USER I have the same question about Camp David staying open . @USER @USER Excellent question ! @USER @USER #WarOnChildren @USER Seems priorities are really fucked up in DC . @USER @USER it all comes down to when funding was awarded . If the contract to run a site is already paid , it will keep running . @USER @USER Not to mention why it was essential for the military academies to play their football games ... @USER I suppose we should simply let YOU decide what 's essential and what 's not ? Fuck you , dude . @USER @USER my website costs more or takes more time to shut down rather than just let it stay up ! Because websites do n't just run on their own . Someone has to be back behind the curtain or it just shuts off right ? @USER @USER @USER @USER @USER They do have bandwidth & electricity costs . Plus many gov sites run on AWS cloud at hourly rates ."	1
@USER @USER or because he drove too fast and killed both of them . @USER he is an ex race car driver , just because majority does n't have a clue who he is , does n't mean nobody does . @USER @USER Who cares about #PaulWalker more than about any victim of driver who 's been speeding ? @USER And who is he ?	0
The Coronavirus Outbreak Answers to your most common questions : Updated March 2 , 2020 What is a coronavirus ? It is a novel virus named for the crownlike spikes that protrude from its surface . The coronavirus can infect both animals and people and can and people and can cause a range of respiratory illnesses from the common cold to lung lesions and pneumonia . How contagious is the virus ? It seems to spread very easily from person to person , especially in homes , hospitals and other confined spaces . The pathogen can travel through the air , enveloped in tiny respiratory droplets that are produced when a sick person breathes , talks , coughs or sneezes.Where has the virus spread ? The virus , which originated in Wuhan , China , has sickened more than 89,700 in at least 67 countries and more than 3,000 have died . The spread has slowed in China , but is picking up speed in Europe and the United States . What symptoms should I look out for ? Symptoms , which can take between two to 14 days to appear , include fever , cough and difficulty breathing or shortness of breath . Milder cases may resemble the flu or a bad cold , but people may be able to pass on the virus even before they develop symptoms . How do I keep myself and others safe ? Washing your hands frequently is the most the most important thing you can do , along with staying at home when you 're sick and avoiding touching your face . How can I prepare for a possible outbreak ? Keep a 30 - day supply of essential medicines . Get a flu shot . Have essential household items on hand . Have a support system in place for elderly family members . What if I 'm traveling ? The C . D . C . has advised against all non-essential travel to South Korea , China , Italy and Iran . And the agency has warned older and at-risk travelers to avoid Japan . How long will it take to develop a treatment or vaccine ? Several drugs are being tested , and some initial findings are expected soon . A vaccine to stop the spread is still at least a year away .	0
' Fast and Furious ' Cast Mourns Paul Walker 's Death HTTPURL @USER =( rip ! ! @USER It 's devastating , Gudnite bro ! RIP “ @USER : ' Fast and Furious ' Cast Mourns Paul Walker 's Death HTTPURL ” La convo avec Tyrese ( aka Roman Pearce ) ouf :-( RT “ @USER : ' Fast and Furious ' Cast Mourns Paul Walker 's Death HTTPURL ” “ @USER : ' Fast and Furious ' Cast Mourns Paul Walker 's Death HTTPURL ” #RIPPaulWalker #PaulWalker @USER @USER #Sadness The moment I heard my thought was * here happy 1 moment , gone the next moment . #GodspeedPaul @USER great actor . In peace ... So sad . RT @USER : ' Fast and Furious ' Cast Mourns Paul Walker 's Death HTTPURL @USER R_I_P I'w miss him @USER @USER I m so sad about that @USER	0
"iPhone 6 owners claim it 's bending in their pockets HTTPURL “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” @USER @USER @USER “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” it 's not just your iPhone 5 @USER #crapple @USER All types of "" wrongs "" in this article “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” shit :beaming_face_with_smiling_eyes: “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” CARGO PANTS COMEBACK ! @USER Is your iPhone 6 Plus bending in your pocket , or are you just happy to see me ? - everyone Cause sitting on your phone is the smart thing to do .. RT @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” @USER can't be - I heard Apple is perfect - just ask their passionate followers @USER That 's brilliant . It fits my bums Bendable gbese ? “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” @USER buy bigger pants :grinning_face_with_big_eyes: “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” Hilarious ! ! ! No fix for that one I bet “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” oh really ? @USER is it made from caramel ? “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” @USER cuidado miniiii ! Tight ass pants . RT @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” ΕΤΣΙ & ΥΠΟΨΙΑΣΤΩ ΟΤΙ ΕΙΝΑΙ ΑΛΗΘΕΙΑ ... ΘΑ ΠΕΘΑΝΩ ! ! ! “ @USER : #iPhone6 owners claim it 's bending in their pockets HTTPURL ” #Apple @USER @USER @USER @USER And I wanted to buy one tomorrow ? Ah never mind :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :see-no-evil_monkey: “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” @USER Real life .. , No claim Oh dear Apple ... “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” Wow ! It bends too ! “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” might just replace my 5 battery ... call it a day Oh snap RT @USER iPhone 6 owners claim it 's bending in their pockets HTTPURL @USER “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” @USER #iPhone6 beat @USER with the world 's first flexible phone ! I would suggest looser pants “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” “ @USER : “ @USER : iPhone 6 owners claim it 's bending in their pockets ” might just replace my 5 battery ... ” :unamused_face: they pants just tight af @USER The Iphone is saying "" Get Bent "" ! ! Ta-da-da-daaan LOL #RuhRoh ► @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL @USER oh shit , a flexible screen ... ahead of the curve ! Lol @USER @USER Usually objects of that size in your pants are bound to have a little bend to ' em . #JustSayin @USER Junk , just high priced Junk ... for self - important people ... “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL @USER “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” @USER It 's not bending . It 's just "" flexing . "" HTTPURL “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” this is crazy :flushed_face: Uh oh ... #Bendgate “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” @USER @USER actually dying . HOWEVER Brad Pitt was seen wearing cargo pants last week so maybe there 's hope ya know “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” Let 's focus on the battery and wifi problems first . “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” @USER “ @USER : iPhone 6 owners claim it 's bending in their pockets HTTPURL ” @USER @USER @USER I know just the one !"	1
Plagiarism is the new virus , what is covid - 19 ? HTTPURL @USER Covid got competition now :face_with_tears_of_joy: @USER At least turnitin is a cure for this virus	0
